"","name","prob.m","prob.w"
"1","David",0.99,0.01
"2","Michael",0.99,0.01
"3","John",0.99,0.01
"4","Peter",0.99,0.01
"5","Thomas",0.99,0.01
"6","Robert",0.99,0.01
"7","Richard",0.99,0.01
"8","Daniel",0.99,0.01
"9","Mark",1,0
"10","Paul",0.99,0.01
"11","James",0.99,0.01
"12","Stephen",0.99,0.01
"13","William",0.99,0.01
"14","Matthew",1,0
"15","Christian",1,0
"16","Andrew",0.99,0.01
"17","Martin",0.98,0.02
"18","Steven",0.99,0.01
"19","Eric",0.99,0.01
"20","Christopher",0.99,0.01
"21","Jeffrey",1,0
"22","Jonathan",0.99,0.01
"23","Andreas",0.99,0.01
"24","Alexander",0.99,0.01
"25","Anthony",0.99,0.01
"26","Joseph",0.99,0.01
"27","Maria",0.03,0.97
"28","Brian",0.99,0.01
"29","Timothy",0.99,0.01
"30","Scott",1,0
"31","Charles",0.98,0.02
"32","Jennifer",0.02,0.98
"33","Stefan",0.98,0.02
"34","Gary",0.99,0.01
"35","Bruce",0.99,0.01
"36","Edward",0.99,0.01
"37","Kevin",0.99,0.01
"38","Elizabeth",0.01,0.99
"39","Simon",0.98,0.02
"40","Alan",0.99,0.01
"41","Joshua",1,0
"42","Susan",0.02,0.98
"43","Karl",0.98,0.02
"44","Jason",0.99,0.01
"45","Douglas",0.99,0.01
"46","Marc",0.99,0.01
"47","Patrick",0.99,0.01
"48","Laura",0.02,0.98
"49","Nicholas",1,0
"50","Anna",0.02,0.98
"51","Benjamin",0.99,0.01
"52","Marco",0.99,0.01
"53","Adam",0.99,0.01
"54","Andrea",0.46,0.54
"55","Sarah",0.02,0.98
"56","Roger",0.99,0.01
"57","Gregory",0.99,0.01
"58","Philip",0.99,0.01
"59","Frank",0.99,0.01
"60","Karen",0.04,0.96
"61","Kenneth",0.99,0.01
"62","Samuel",0.99,0.01
"63","Jose",0.97,0.03
"64","Ronald",0.99,0.01
"65","George",0.99,0.01
"66","Markus",0.99,0.01
"67","Ian",0.99,0.01
"68","Christoph",0.99,0.01
"69","Anne",0.02,0.98
"70","Jan",0.92,0.08
"71","Christine",0.02,0.98
"72","Jeremy",0.99,0.01
"73","Raymond",0.99,0.01
"74","Lisa",0.02,0.98
"75","Catherine",0.02,0.98
"76","Jean",0.89,0.11
"77","Hiroshi",0.99,0.01
"78","Lawrence",0.98,0.02
"79","Matthias",0.99,0.01
"80","Patricia",0.02,0.98
"81","Chris",0.93,0.07
"82","Mary",0.02,0.98
"83","Julie",0.02,0.98
"84","Lars",0.99,0.01
"85","Pierre",0.98,0.02
"86","Donald",0.99,0.01
"87","Stephanie",0.02,0.98
"88","Jun",0.88,0.12
"89","Vincent",0.99,0.01
"90","Alex",0.92,0.08
"91","Craig",1,0
"92","Stephan",0.98,0.02
"93","Jon",0.99,0.01
"94","Juan",0.98,0.02
"95","Barry",0.98,0.02
"96","Rebecca",0.01,0.99
"97","Tobias",0.99,0.01
"98","Carlos",0.99,0.01
"99","Wei",0.73,0.27
"100","Angela",0.02,0.98
"101","Jessica",0.02,0.98
"102","Klaus",0.98,0.02
"103","Nicolas",0.99,0.01
"104","Geoffrey",0.99,0.01
"105","Linda",0.03,0.97
"106","Stuart",0.99,0.01
"107","Alain",0.98,0.02
"108","Bradley",0.99,0.01
"109","Dennis",0.99,0.01
"110","Olivier",0.99,0.01
"111","Allan",0.99,0.01
"112","Barbara",0.02,0.98
"113","Oliver",0.98,0.02
"114","Manuel",0.99,0.01
"115","Arthur",0.99,0.01
"116","Erik",0.96,0.04
"117","Guy",0.98,0.02
"118","Philippe",0.99,0.01
"119","Hans",0.97,0.03
"120","Jens",0.99,0.01
"121","Michel",0.97,0.03
"122","Todd",1,0
"123","Aaron",0.99,0.01
"124","Amy",0.02,0.98
"125","Rachel",0.02,0.98
"126","Antonio",0.99,0.01
"127","Claudia",0.02,0.98
"128","Wolfgang",0.99,0.01
"129","Jane",0.03,0.97
"130","Nancy",0.02,0.98
"131","Louis",0.97,0.03
"132","Howard",0.99,0.01
"133","Alexandra",0.02,0.98
"134","Ben",0.97,0.03
"135","Paolo",0.99,0.01
"136","Michele",0.72,0.28
"137","Rafael",0.99,0.01
"138","Roberto",0.99,0.01
"139","Sean",0.99,0.01
"140","Joel",0.99,0.01
"141","Ann",0.03,0.97
"142","Andre",0.97,0.03
"143","Daniela",0.03,0.97
"144","Fred",0.96,0.04
"145","Serge",0.98,0.02
"146","Suzanne",0.02,0.98
"147","Helen",0.02,0.98
"148","Jack",0.97,0.03
"149","Anders",0.99,0.01
"150","Bruno",0.99,0.01
"151","Neil",0.99,0.01
"152","Nicole",0.02,0.98
"153","Tim",0.99,0.01
"154","Elena",0.02,0.98
"155","Keith",0.98,0.02
"156","Luis",0.99,0.01
"157","Ana",0.03,0.97
"158","Francesco",0.99,0.01
"159","Katherine",0.01,0.99
"160","Silvia",0.02,0.98
"161","Pascal",0.98,0.02
"162","Jian",0.89,0.11
"163","Victor",0.99,0.01
"164","Carol",0.03,0.97
"165","Li",0.47,0.53
"166","Clifford",0.99,0.01
"167","Ryan",0.99,0.01
"168","Ralf",0.99,0.01
"169","Roland",0.99,0.01
"170","Justin",0.98,0.02
"171","Denis",0.97,0.03
"172","Henry",0.99,0.01
"173","Kathleen",0.01,0.99
"174","Marcel",0.98,0.02
"175","Nathalie",0.03,0.97
"176","Ralph",0.99,0.01
"177","Takeshi",0.99,0.01
"178","Yves",0.98,0.02
"179","Julia",0.03,0.97
"180","Miguel",0.99,0.01
"181","Monica",0.02,0.98
"182","Sebastian",0.99,0.01
"183","Yi",0.61,0.39
"184","Frederic",0.98,0.02
"185","Margaret",0.02,0.98
"186","Russell",0.99,0.01
"187","Greg",0.99,0.01
"188","Sara",0.02,0.98
"189","Derek",0.99,0.01
"190","Marie",0.03,0.97
"191","Yan",0.73,0.27
"192","Juergen",0.99,0.01
"193","Yong",0.87,0.13
"194","Adrian",0.98,0.02
"195","Albert",0.98,0.02
"196","Colin",0.99,0.01
"197","Mario",0.99,0.01
"198","Gordon",0.99,0.01
"199","Ivan",0.99,0.01
"200","Nathan",0.99,0.01
"201","Randy",0.98,0.02
"202","Rene",0.92,0.08
"203","Sophie",0.02,0.98
"204","Mathias",0.98,0.02
"205","Takashi",0.99,0.01
"206","Hugh",0.99,0.01
"207","Stefano",0.99,0.01
"208","Alexandre",0.99,0.01
"209","Dan",0.97,0.03
"210","Cristina",0.02,0.98
"211","Diego",0.99,0.01
"212","Bernhard",0.98,0.02
"213","Carl",0.98,0.02
"214","Larry",0.98,0.02
"215","Massimo",0.99,0.01
"216","Olaf",0.98,0.02
"217","Tom",0.99,0.01
"218","Edwin",0.99,0.01
"219","Fernando",0.99,0.01
"220","Francois",0.98,0.02
"221","Johannes",0.99,0.01
"222","Jorge",0.99,0.01
"223","Laurent",0.97,0.03
"224","Valerie",0.03,0.97
"225","Ying",0.11,0.89
"226","Bernard",0.98,0.02
"227","Emily",0.02,0.98
"228","Georg",0.99,0.01
"229","Jerome",0.99,0.01
"230","Marina",0.02,0.98
"231","Martha",0.03,0.97
"232","Sandra",0.02,0.98
"233","Giovanni",0.99,0.01
"234","Isabelle",0.02,0.98
"235","Stephane",0.97,0.03
"236","Dirk",0.99,0.01
"237","Nathaniel",0.99,0.01
"238","Riitta",0.03,0.97
"239","Jeff",0.99,0.01
"240","Jie",0.61,0.39
"241","Leslie",0.19,0.81
"242","Virginia",0.02,0.98
"243","Claudio",0.99,0.01
"244","Jay",0.93,0.07
"245","Melissa",0.02,0.98
"246","Nicola",0.81,0.19
"247","Carsten",0.99,0.01
"248","Jing",0.25,0.75
"249","Michelle",0.03,0.97
"250","Pablo",0.99,0.01
"251","Walter",0.97,0.03
"252","Min",0.65,0.35
"253","Yang",0.67,0.33
"254","Laurence",0.1,0.9
"255","Paola",0.02,0.98
"256","Ruth",0.02,0.98
"257","Trevor",0.99,0.01
"258","Wade",0.98,0.02
"259","Christophe",0.98,0.02
"260","Francesca",0.02,0.98
"261","Josef",0.98,0.02
"262","Ole",0.94,0.0600000000000001
"263","Bryan",0.99,0.01
"264","Christina",0.0600000000000001,0.94
"265","Heather",0.01,0.99
"266","Elisabeth",0.02,0.98
"267","Eva",0.02,0.98
"268","Felix",0.98,0.02
"269","Lin",0.42,0.58
"270","Marta",0.02,0.98
"271","Claire",0.02,0.98
"272","Cynthia",0.02,0.98
"273","Hugo",0.99,0.01
"274","Nick",0.98,0.02
"275","Simone",0.67,0.33
"276","Carlo",0.98,0.02
"277","Florian",0.99,0.01
"278","Kathryn",0.01,0.99
"279","Roy",0.98,0.02
"280","Ulrich",0.98,0.02
"281","Alberto",0.99,0.01
"282","Andres",0.98,0.02
"283","Bernd",0.99,0.01
"284","Caroline",0.02,0.98
"285","Gerald",0.99,0.01
"286","Graeme",0.99,0.01
"287","Pamela",0.02,0.98
"288","Patrik",0.99,0.01
"289","Rainer",0.99,0.01
"290","Deborah",0.02,0.98
"291","Dora",0.04,0.96
"292","Irene",0.02,0.98
"293","Joanna",0.02,0.98
"294","Ken",0.98,0.02
"295","Robin",0.75,0.25
"296","Satoshi",0.99,0.01
"297","Susumu",0.98,0.02
"298","Charlotte",0.04,0.96
"299","Emmanuel",0.99,0.01
"300","Erin",0.04,0.96
"301","Harald",0.99,0.01
"302","Marcus",0.99,0.01
"303","Steve",0.99,0.01
"304","Susanne",0.01,0.99
"305","Alison",0.07,0.93
"306","Javier",0.99,0.01
"307","Makoto",0.95,0.05
"308","Hui",0.48,0.52
"309","Jochen",0.99,0.01
"310","Leonard",0.98,0.02
"311","Tao",0.87,0.13
"312","Gabriel",0.99,0.01
"313","Jacqueline",0.02,0.98
"314","Lei",0.59,0.41
"315","Leonardo",0.99,0.01
"316","Sabine",0.02,0.98
"317","Amanda",0.02,0.98
"318","Julien",0.98,0.02
"319","Melanie",0.02,0.98
"320","Teresa",0.02,0.98
"321","Yu",0.63,0.37
"322","Alessandro",0.99,0.01
"323","Antoine",0.99,0.01
"324","Christos",0.99,0.01
"325","Joachim",0.99,0.01
"326","Kai",0.9,0.1
"327","Kelly",0.12,0.88
"328","Kimberly",0.02,0.98
"329","Matteo",0.99,0.01
"330","Maurizio",0.99,0.01
